classification,validator_count,validator_count_context,transactions_per_block,measured_frame_samples_per_kind,network_transmissions_per_successful_block,consensus_signatures_created_per_block,consensus_aegis_verify_calls,transaction_aegis_verify_calls,total_aegis_verify_calls,modeled_primitive_cache_misses,modeled_positive_cache_hits,aggregate_exact_frame_bytes,aggregate_authentication_delta_bytes,modeled_aegis_verify_wall_ms,block_latency_ms,finality_latency_ms,cpu_percent,formulas,notes
DERIVED,25,hypothetical validator count,10,10,49,3,127,260,387,324,63,10538945.5,9115170.0,41.285979,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,50,hypothetical validator count,10,10,99,3,252,510,762,649,113,21103633.0,18253895.0,82.602629,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,4,hypothetical validator count,100,10,7,3,22,500,522,411,111,14483031.5,12475401.5,52.599963,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,6,current_six-validator_configuration; aggregate remains derived,100,10,11,3,32,700,732,617,115,21737422.5,18724898.5,78.585295,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,7,hypothetical validator count,100,10,13,3,37,800,837,720,117,25364618.0,21849647.0,91.577961,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,10,hypothetical validator count,100,10,19,3,52,1100,1152,1029,123,36246204.5,31223892.5,130.555959,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,16,hypothetical validator count,100,10,31,3,82,1700,1782,1647,135,58009377.5,49972383.5,208.511955,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,25,hypothetical validator count,100,10,49,3,127,2600,2727,2574,153,90654137.0,78095120.0,325.445949,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,50,hypothetical validator count,100,10,99,3,252,5100,5352,5149,203,181334024.5,156213832.5,650.262599,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,4,hypothetical validator count,200,10,7,3,22,1000,1022,811,211,28732387.5,24743237.5,103.733263,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,6,current_six-validator_configuration; aggregate remains derived,200,10,11,3,32,1400,1432,1217,215,43111449.5,37126636.5,154.918595,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,7,hypothetical validator count,200,10,13,3,37,1600,1637,1420,217,50300980.5,43318336.0,180.511261,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,10,hypothetical validator count,200,10,19,3,52,2200,2252,2029,223,71869573.5,61893434.5,257.289259,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,16,hypothetical validator count,200,10,31,3,82,3400,3482,3247,235,115006759.5,99043631.5,410.845255,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,25,hypothetical validator count,200,10,49,3,127,5200,5327,5074,253,179712538.5,154768927.0,641.179249,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,50,hypothetical validator count,200,10,99,3,252,10200,10452,10149,303,359450813.5,309561414.5,1280.995899,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,4,hypothetical validator count,225,10,7,3,22,1125,1147,911,236,32297142.0,27812656.5,116.516588,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,6,current_six-validator_configuration; aggregate remains derived,225,10,11,3,32,1575,1607,1367,240,48458571.0,41730764.5,174.00192,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,7,hypothetical validator count,225,10,13,3,37,1800,1837,1595,242,56539285.5,48689818.5,202.744586,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,10,hypothetical validator count,225,10,19,3,52,2475,2527,2279,248,80781429.0,69566980.5,288.972584,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,16,hypothetical validator count,225,10,31,3,82,3825,3907,3647,260,129265716.0,111321304.5,461.42858,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,25,hypothetical validator count,225,10,49,3,127,5850,5977,5699,278,201992146.5,173952790.5,720.112574,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,50,hypothetical validator count,225,10,99,3,252,11475,11727,11399,328,404010009.0,347929140.5,1438.679224,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,4,hypothetical validator count,230,10,7,3,22,1150,1172,931,241,33010708.5,28426994.5,119.073253,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,6,current_six-validator_configuration; aggregate remains derived,230,10,11,3,32,1610,1642,1397,245,49528934.5,42652278.5,177.818585,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,7,hypothetical validator count,230,10,13,3,37,1840,1877,1630,247,57788047.5,49764920.5,207.191251,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,10,hypothetical validator count,230,10,19,3,52,2530,2582,2329,253,82565386.5,71102846.5,295.309249,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,16,hypothetical validator count,230,10,31,3,82,3910,3992,3727,265,132120064.5,113778698.5,471.545245,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,25,hypothetical validator count,230,10,49,3,127,5980,6107,5824,283,206452081.5,177792476.5,735.899239,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,50,hypothetical validator count,230,10,99,3,252,11730,11982,11649,333,412929906.5,355608526.5,1470.215889,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,4,hypothetical validator count,231,10,7,3,22,1155,1177,935,242,33153486.0,28549800.0,119.584586,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,6,current_six-validator_configuration; aggregate remains derived,231,10,11,3,32,1617,1649,1403,246,49743116.0,42836491.0,178.581918,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,7,hypothetical validator count,231,10,13,3,37,1848,1885,1637,248,58037931.0,49979836.5,208.080584,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,10,hypothetical validator count,231,10,19,3,52,2541,2593,2339,254,82922376.0,71409873.0,296.576582,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,16,hypothetical validator count,231,10,31,3,82,3927,4009,3743,266,132691266.0,114269946.0,473.568578,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,25,hypothetical validator count,231,10,49,3,127,6006,6133,5849,284,207344601.0,178560055.5,739.056572,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,50,hypothetical validator count,231,10,99,3,252,11781,12033,11699,334,414714976.0,357143693.0,1476.523222,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,4,hypothetical validator count,232,10,7,3,22,1160,1182,939,243,33296332.5,28672883.5,120.095919,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,6,current_six-validator_configuration; aggregate remains derived,232,10,11,3,32,1624,1656,1409,247,49957387.5,43021133.5,179.345251,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,7,hypothetical validator count,232,10,13,3,37,1856,1893,1644,249,58287915.0,50195258.5,208.969917,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,10,hypothetical validator count,232,10,19,3,52,2552,2604,2349,255,83279497.5,71717633.5,297.843915,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,16,hypothetical validator count,232,10,31,3,82,3944,4026,3759,267,133262662.5,114762383.5,475.591911,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,25,hypothetical validator count,232,10,49,3,127,6032,6159,5874,285,208237410.0,179329508.5,742.213905,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,50,hypothetical validator count,232,10,99,3,252,11832,12084,11749,335,416500597.5,358682633.5,1482.830555,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,4,hypothetical validator count,233,10,7,3,22,1165,1187,943,244,33439043.5,28795679.5,120.607252,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,6,current_six-validator_configuration; aggregate remains derived,233,10,11,3,32,1631,1663,1415,248,50171430.5,43205290.5,180.108584,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,7,hypothetical validator count,233,10,13,3,37,1864,1901,1651,250,58537624.0,50410096.0,209.85925,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,10,hypothetical validator count,233,10,19,3,52,2563,2615,2359,256,83636204.5,72024512.5,299.111248,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,16,hypothetical validator count,233,10,31,3,82,3961,4043,3775,268,133833365.5,115253345.5,477.615244,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,25,hypothetical validator count,233,10,49,3,127,6058,6185,5899,286,209129107.0,180096595.0,745.371238,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,50,hypothetical validator count,233,10,99,3,252,11883,12135,11799,336,418283944.5,360216732.5,1489.137888,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
